,scaled_error_ground,scaled_flux_ground,time_ground,xmodel_ground,ymodel_ground,yresidual_ground
0,0.001893299885219457,0.9940064806975463,2457931.825654,2457931.825654,1.0,-0.0059935193024537314
1,0.0018870952687265903,0.9976139925990232,2457931.8260310004,2457931.8260310004,1.0,-0.0023860074009768306
2,0.0018809193515473067,1.001558873669064,2457931.826409,2457931.826409,1.0,0.0015588736690639315
3,0.0018692692848769942,0.9968290247315723,2457931.826787,2457931.826787,1.0,-0.0031709752684276893
4,0.0018598947695658997,1.0001425912188544,2457931.827541,2457931.827541,1.0,0.0001425912188544043
5,0.0018538871586233634,1.0034294353957558,2457931.827918,2457931.827918,1.0,0.0034294353957557977
6,0.0018423828234416988,0.999841965227065,2457931.828295,2457931.828295,1.0,-0.00015803477293496737
7,0.0018163780198755628,1.0013250534532274,2457931.829426,2457931.829426,1.0,0.0013250534532274205
8,0.0018158693386798133,1.001926305436807,2457931.83018,2457931.83018,1.0,0.001926305436807052
9,0.0018212781418692546,0.9973901932495798,2457931.830557,2457931.830557,1.0,-0.0026098067504202183
10,0.0018267260398392175,1.0028281834121762,2457931.831311,2457931.831311,1.0,0.002828183412176166
11,0.0018267355070672824,0.99826200862577,2457931.831688,2457931.831688,1.0,-0.0017379913742300301
12,0.0018297267985789621,1.0028816280329387,2457931.832442,2457931.832442,1.0,0.0028816280329386768
13,0.0018100755399953563,0.995162220621538,2457931.83282,2457931.83282,1.0,-0.0048377793784619705
14,0.0017991027650778072,0.9932749574508581,2457931.833577,2457931.833577,1.0,-0.0067250425491418575
15,0.0018021707700102195,1.0015121096258968,2457931.833954,2457931.833954,1.0,0.0015121096258967626
16,0.0017911082593006513,0.999701673097563,2457931.834331,2457931.834331,1.0,-0.0002983269024370294
17,0.0017885768341176556,0.9986962461694662,2457931.834708,2457931.834708,1.0,-0.001303753830533827
18,0.001786082065446548,1.0032490598006818,2457931.835085,2457931.835085,1.0,0.0032490598006817972
19,0.0017697901144090105,0.9978912365692293,2457931.835841,2457931.835841,1.0,-0.0021087634307707104
20,0.0017673770656337514,0.9982286057377933,2457931.8362189997,2457931.8362189997,1.0,-0.001771394262206738
