,Airmass,BJD,Best fit model,Normalized flux,Normalized flux error,Residual,X centroid,Y centroid
0,1.076886,2457828.621944,1.0,0.9999435225895624,0.0006503677454800188,-5.6477410437461024e-05,620.59771,601.172286
1,1.0765149999999999,2457828.622137,1.0,0.9997001517669912,0.0006494363418378395,-0.00029984823300877034,620.597389,601.52001
2,1.076147,2457828.622329,1.0,0.9995769451931288,0.0006500427051863638,-0.00042305480687110375,620.965706,601.447845
3,1.07578,2457828.62252,1.0,1.0010965836613772,0.0006498814315541228,0.001096583661377215,620.891279,601.437263
4,1.0754139999999999,2457828.622713,1.0,0.9998560278938536,0.0006489519474394245,-0.0001439721061462507,621.00187,601.270229
5,1.07505,2457828.622905,1.0,0.9995060283748708,0.0006499456425407362,-0.0004939716251290972,621.174482,601.494137
6,1.074684,2457828.623099,1.0,1.0000401106238472,0.0006497851939341009,4.011062384723374e-05,621.027292,601.4766
7,1.074324,2457828.62329,1.0,0.9997081933751804,0.000649627470232786,-0.00029180662481942404,621.413967,601.66714
8,1.073965,2457828.623482,1.0,1.0002160846862984,0.0006502407456842903,0.0002160846862984123,620.9377910000001,601.506398
9,1.073607,2457828.623674,1.0,0.9990936817001208,0.0006504698373621911,-0.000906318299879194,620.97101,601.396191
10,1.073251,2457828.623866,1.0,0.9997137123166968,0.0006495432611771576,-0.000286287683303188,621.239487,601.40131
11,1.072897,2457828.624057,1.0,1.0000123900861693,0.0006505458779745384,1.2390086169267177e-05,621.0915769999999,601.4662599999999
12,1.072544,2457828.624249,1.0,0.9996900482434208,0.0006515510069319231,-0.0003099517565792187,621.29565,601.6184360000001
13,1.072193,2457828.624441,1.0,1.0005911814239046,0.0006517851344728195,0.0005911814239045742,621.077281,601.531067
14,1.071843,2457828.624633,1.0,0.9999661137431021,0.0006500868183424862,-3.388625689804137e-05,620.87055,601.225371
15,1.071494,2457828.624824,1.0,0.9991046777112608,0.0006491626032519486,-0.0008953222887393418,620.801087,601.233369
16,1.0711469999999998,2457828.625016,1.0,1.0007867630952296,0.0006486255103401817,0.0007867630952296256,620.726049,601.261595
17,1.0708010000000001,2457828.625208,1.0,1.000736975080098,0.0006492473220936747,0.0007369750800980679,621.034399,601.471941
18,1.070457,2457828.6254,1.0,1.0001667198751762,0.0006498710845146776,0.00016671987517624662,621.10369,601.540549
19,1.070114,2457828.625592,1.0,1.000203927823472,0.0006508836225367032,0.00020392782347200544,621.19952,601.3911519999999
20,1.0697729999999999,2457828.625784,1.0,0.9997910699494116,0.0006507360539737883,-0.00020893005058830735,621.021893,601.387259
21,1.069434,2457828.625975,1.0,1.0002828485954296,0.0006509770332048509,0.0002828485954295968,620.8172900000001,601.339203
22,1.0690950000000001,2457828.626167,1.0,1.0005815472911022,0.0006508305839308956,0.000581547291102158,620.6754080000001,601.267663
23,1.068758,2457828.626359,1.0,0.9994008117514126,0.0006502973081336324,-0.0005991882485874013,621.0981019999999,601.541334
24,1.068423,2457828.62655,1.0,0.9989954759537614,0.0006501526639776243,-0.0010045240462386307,621.002534,601.3547580000001
25,1.0680889999999998,2457828.6267419998,1.0,0.9995491281376292,0.0006531164820840772,-0.0004508718623708052,620.956593,601.515356
26,1.0677510000000001,2457828.626937,1.0,0.9999871837559934,0.0006502507889604826,-1.281624400650827e-05,620.793346,601.511526
27,1.0674190000000001,2457828.62713,1.0,0.999634187962167,0.0006516618058855742,-0.00036581203783314637,620.6467650000001,601.3627700000001
28,1.0670870000000001,2457828.6273229998,1.0,0.9996166043510348,0.0006507417016763772,-0.00038339564896516803,620.95824,601.3301730000001
29,1.066759,2457828.6275150003,1.0,1.0002909445961448,0.0006533253015660581,0.00029094459614475987,621.111822,601.475395
30,1.066431,2457828.627708,1.0,1.0008607094548587,0.0006512376726780503,0.0008607094548587213,620.658994,601.091513
31,1.066106,2457828.6279,1.0,0.9996940541867064,0.0006495429224302608,-0.00030594581329346227,620.673505,601.2014280000001
32,1.065782,2457828.628092,1.0,1.0001300355298688,0.0006536879447353256,0.0001300355298687883,620.7207030000001,601.4268599999999
33,1.06546,2457828.628283,1.0,1.000046031643375,0.0006492654748878879,4.6031643375021865e-05,620.7947740000001,601.5568509999999
34,1.0651389999999998,2457828.628475,1.0,1.0001576638840828,0.0006464101024017621,0.00015766388408278154,620.455345,601.201361
35,1.064819,2457828.6286669997,1.0,0.9997996184859036,0.0006482130579693273,-0.00020038151409651483,620.635375,601.191243
36,1.064501,2457828.628859,1.0,1.0003562878805616,0.0006453600157904684,0.00035628788056163435,621.21246,601.3394490000001
37,1.064184,2457828.629051,1.0,1.001155339092399,0.0006436743095148766,0.0011553390923990658,621.399116,601.492434
38,1.063556,2457828.6294340002,1.0,0.9995043979326184,0.0006441779376452195,-0.0004956020673816397,620.645311,601.171701
39,1.062934,2457828.629818,1.0,1.0005272206808755,0.0006446857187514763,0.0005272206808757397,620.848387,601.236145
40,1.062624,2457828.630009,1.0,0.9998277077814612,0.0006430017624227468,-0.00017229221853876098,620.854771,601.134587
41,1.062317,2457828.630201,1.0,1.0000052155685435,0.0006413210849973449,5.2155685437149665e-06,621.332611,601.4185150000001
42,1.0620100000000001,2457828.630393,1.0,1.0002621763261912,0.000639642412890699,0.00026217632619118797,621.28171,601.482279
43,1.061699,2457828.630588,1.0,0.9993887552242146,0.0006379640298415937,-0.0006112447757855577,621.135662,601.42287
44,1.061395,2457828.630781,1.0,0.999461184777554,0.0006359056957222067,-0.0005388152224461429,620.9729219999999,601.388508
