,Airmass,BJD,Best fit model,Normalized flux,Normalized flux error,Residual,X centroid,Y centroid
0,1.076886,2457828.621944,1.0,0.99995010392,0.000496834741233,-4.98960804405e-05,620.59771,601.172286
1,1.0765149999999999,2457828.622137,1.0,0.9997067306730001,0.000495829002891,-0.000293269327389,620.597389,601.52001
2,1.076147,2457828.622329,1.0,0.9995835222380001,0.000496834741233,-0.000416477761981,620.965706,601.447845
3,1.07578,2457828.62252,1.0,1.00110316647,0.000496834741233,0.00110316646645,620.891279,601.437263
4,1.0754139999999999,2457828.622713,1.0,0.999862603653,0.000495829002891,-0.00013739634716799997,621.00187,601.270229
5,1.07505,2457828.622905,1.0,0.9995126012219999,0.0004973376104040001,-0.00048739877801099997,621.174482,601.494137
6,1.074684,2457828.623099,1.0,1.00004668464,0.0004973376104040001,4.66846431779e-05,621.027292,601.4766
7,1.074324,2457828.62329,1.0,0.9997147645730001,0.0004973376104040001,-0.000285235426823,621.413967,601.66714
8,1.073965,2457828.623482,1.0,1.00022265695,0.000498343348747,0.00022265694855200003,620.9377910000001,601.506398
9,1.073607,2457828.623674,1.0,0.9991002474709999,0.000498846217918,-0.00089975252939,620.97101,601.396191
10,1.073251,2457828.623866,1.0,0.999720279671,0.000497840479576,-0.00027972032881700006,621.239487,601.40131
11,1.072897,2457828.624057,1.0,1.00001895754,0.00049934908709,1.89575419771e-05,621.0915769999999,601.4662599999999
12,1.072544,2457828.624249,1.0,0.9996966129160001,0.0005008576946030001,-0.000303387084445,621.29565,601.6184360000001
13,1.072193,2457828.624441,1.0,1.00059774898,0.000501360563775,0.0005977489828780001,621.077281,601.531067
14,1.071843,2457828.624633,1.0,0.999972677115,0.00049934908709,-2.73228846595e-05,620.87055,601.225371
15,1.071494,2457828.624824,1.0,0.999111235808,0.000498343348747,-0.000888764192028,620.801087,601.233369
16,1.0711469999999998,2457828.625016,1.0,1.0007933277,0.000497840479576,0.0007933276983069999,620.726049,601.261595
17,1.0708010000000001,2457828.625208,1.0,1.00074353816,0.000498846217918,0.000743538162723,621.034399,601.471941
18,1.070457,2457828.6254,1.0,1.00017327903,0.000499851956261,0.00017327902511200002,621.10369,601.540549
19,1.070114,2457828.625592,1.0,1.00021048586,0.000501360563775,0.00021048585616099998,621.19952,601.3911519999999
20,1.0697729999999999,2457828.625784,1.0,0.999797624779,0.000501360563775,-0.000202375221093,621.021893,601.387259
21,1.069434,2457828.625975,1.0,1.00028940442,0.000501863432946,0.00028940442122000006,620.8172900000001,601.339203
22,1.0690950000000001,2457828.626167,1.0,1.0005881032100001,0.000501863432946,0.0005881032115959999,620.6754080000001,601.267663
23,1.068758,2457828.626359,1.0,0.99940736091,0.000501360563775,-0.000592639090215,621.0981019999999,601.541334
24,1.068423,2457828.62655,1.0,0.999002021951,0.000501360563775,-0.000997978049481,621.002534,601.3547580000001
25,1.0680889999999998,2457828.6267419998,1.0,0.999555675411,0.000505383517145,-0.00044432458926199994,620.956593,601.515356
26,1.0677510000000001,2457828.626937,1.0,0.99999373175,0.000501863432946,-6.26825046512e-06,620.793346,601.511526
27,1.0674190000000001,2457828.62713,1.0,0.999640733023,0.0005038749096309999,-0.000359266976754,620.6467650000001,601.3627700000001
28,1.0670870000000001,2457828.6273229998,1.0,0.999623148034,0.000502869171289,-0.000376851965795,620.95824,601.3301730000001
29,1.066759,2457828.6275150003,1.0,1.0002974901200001,0.0005063892554880001,0.00029749011502099997,621.111822,601.475395
30,1.066431,2457828.627708,1.0,1.00086725632,0.0005038749096309999,0.000867256318046,620.658994,601.091513
31,1.066106,2457828.6279,1.0,0.999700594353,0.000501863432946,-0.00029940564697,620.673505,601.2014280000001
32,1.065782,2457828.628092,1.0,1.0001365764299999,0.0005073949938299999,0.000136576427168,620.7207030000001,601.4268599999999
33,1.06546,2457828.628283,1.0,1.00005257087,0.000501863432946,5.25708683556e-05,620.7947740000001,601.5568509999999
34,1.0651389999999998,2457828.628475,1.0,1.00016420234,0.000498343348747,0.000164202336756,620.455345,601.201361
35,1.064819,2457828.6286669997,1.0,0.999806153989,0.0005008576946030001,-0.00019384601057099998,620.635375,601.191243
36,1.064501,2457828.628859,1.0,1.00036282467,0.0004973376104040001,0.000362824674419,621.21246,601.3394490000001
37,1.064184,2457828.629051,1.0,1.0011618783,0.0004953261337190001,0.00116187829997,621.399116,601.492434
38,1.063556,2457828.6294340002,1.0,0.999510926916,0.000496331872062,-0.0004890730842030001,620.645311,601.171701
39,1.062934,2457828.629818,1.0,1.00053375183,0.0004973376104040001,0.000533751825202,620.848387,601.236145
40,1.062624,2457828.630009,1.0,0.9998342344009999,0.0004953261337190001,-0.000165765599268,620.854771,601.134587
41,1.062317,2457828.630201,1.0,1.00001174172,0.000493314657034,1.17417208274e-05,621.332611,601.4185150000001
42,1.0620100000000001,2457828.630393,1.0,1.0002687023799999,0.0004913031803490001,0.00026870237973000005,621.28171,601.482279
43,1.061699,2457828.630588,1.0,0.9993952759200001,0.000489291703664,-0.0006047240801939999,621.135662,601.42287
44,1.061395,2457828.630781,1.0,0.999467704512,0.000486777357807,-0.000532295487573,620.9729219999999,601.388508
45,1.061093,2457828.6309720003,1.0,1.00031400692,0.000488285965321,0.000314006920499,620.894545,601.088188
46,1.060791,2457828.631165,1.0,0.9990332145730001,0.000485771619465,-0.0009667854268180002,621.0061450000001,601.2273849999999
47,1.060491,2457828.6313569997,1.0,1.00019483686,0.00048526875029300005,0.00019483686148900003,620.974826,601.421843
