#=================================================================================================
# Title: Diffuser-assisted Photometric Follow-up Observations of the Neptune-sized planets K2-28b and K2-100b
# Authors: Stefansson et al. 2018
#=================================================================================================
# Columns:
# BJD_TDB                  - Barycentric Julian Day (BJD) (unit: d)
# rel_flux                 - Relative flux of the target star (unit: -)
# rel_flux_err             - Uncertainty in the relative flux of the target star (unit: -)
# model_time               - Model BJD_TDB axis (unit: d)
# model_flux               - Best-fit model flux (unit: -)
# residual                 - Residuals from best-fit transit fit (unit: -)
#=================================================================================================
# Notes: Diffuser-assisted observations of the transit of K2-28b with the 3.5m Telescope at
# Apache Point Observatory
#=================================================================================================
BJD_TDB	model_flux	model_time	rel_flux	rel_flux_err	residual
2457931.825654	1.0	2457931.825654	0.9940696948346256	0.0017132855103328538	-0.0059303051653742936
2457931.8260310004	1.0	2457931.8260310004	0.9976775663712948	0.0017078902840071716	-0.002322433628705323
2457931.826409	1.0	2457931.826409	1.0016222550329488	0.0017029042036720275	0.0016222550329487715
2457931.826787	1.0	2457931.826787	0.9968946937499202	0.001691741776580038	-0.003105306250079765
2457931.827541	1.0	2457931.827541	1.0002065946353036	0.0016812553706547044	0.0002065946353035919
2457931.827918	1.0	2457931.827918	1.0034924463516506	0.0016763240593198755	0.00349244635165058
2457931.828295	1.0	2457931.828295	0.9999064050456528	0.0016642162380669635	-9.35949543471315e-05
2457931.829426	1.0	2457931.829426	1.0013903285963353	0.001640509747197564	0.0013903285963352552
2457931.83018	1.0	2457931.83018	1.001989686596231	0.0016391591160455632	0.0019896865962309995
2457931.830557	1.0	2457931.830557	0.99745547506628	0.0016402117356300724	-0.0025445249337201488
2457931.831311	1.0	2457931.831311	1.0028935587374566	0.0016461191182319589	0.0028935587374565586
2457931.831688	1.0	2457931.831688	0.9983276517693432	0.0016466922125394454	-0.0016723482306568727
2457931.832442	1.0	2457931.832442	1.002946278695221	0.0016478931752368813	0.0029462786952210163
2457931.83282	1.0	2457931.83282	0.9952258532194802	0.0016301404373616304	-0.0047741467805197954
2457931.833577	1.0	2457931.833577	0.9933402822109904	0.0016186350122111642	-0.006659717789009646
2457931.833954	1.0	2457931.833954	1.0015771435426586	0.0016201295952220003	0.0015771435426585876
2457931.834331	1.0	2457931.834331	0.9997654782868616	0.0016123308020209394	-0.00023452171313831366
2457931.834708	1.0	2457931.834708	0.9987613790327288	0.0016076730421618222	-0.00123862096727112
2457931.835085	1.0	2457931.835085	1.0033119811056757	0.0016045137592664664	0.0033119811056756547
2457931.835841	1.0	2457931.835841	0.99795452377911	0.0015881413614568312	-0.00204547622089013
2457931.836219	1.0	2457931.836219	0.9982939303790416	0.0015865978804661177	-0.001706069620958539
2457931.836595	1.0	2457931.836595	1.0023211003400279	0.0015896220741079036	0.0023211003400280816
2457931.837727	1.0	2457931.837727	1.0012762315748862	0.00159877314862233	0.0012762315748862108
2457931.8381040003	1.0	2457931.8381040003	1.0001452638779749	0.0015973486280455365	0.00014526387797486606
2457931.838481	1.0	2457931.838481	0.9995571288434576	0.0015926062390659685	-0.00044287115654240145
2457931.838857	1.0	2457931.838857	0.9999353513467532	0.001584111169994986	-6.464865324673498e-05
2457931.839234	1.0	2457931.839234	1.0034000222380706	0.0015790432718424262	0.003400022238070566
2457931.839989	1.0	2457931.839989	0.997974097397384	0.0015659147547311995	-0.0020259026026159255
2457931.840366	1.0	2457931.840366	1.0005029039191486	0.001570507333438351	0.0005029039191486451
2457931.840743	1.0	2457931.840743	0.9952019562462248	0.001564038236756625	-0.00479804375377535
2457931.84112	1.0	2457931.84112	0.9974373636471868	0.0015671028001555693	-0.002562636352813064
2457931.841498	1.0	2457931.841498	0.999124356590388	0.0015629736114547133	-0.0008756434096118816
2457931.841874	1.0	2457931.841874	1.0028388655363538	0.0015670756757102825	0.0028388655363538184
2457931.842251	1.0	2457931.842251	1.0011744464730388	0.0015567845829709793	0.0011744464730387705
