,Airmass,BJD,Best fit model,Normalized flux,Normalized flux error,Residual,X centroid,Y centroid
0,2.167404,2457931.82565,1.0,0.994006480698,0.00189329988522,-0.00599351930245,330.297411,731.90133
1,2.160358,2457931.82603,1.0,0.997613992599,0.00188709526873,-0.00238600740098,330.4897,731.344045
2,2.153343,2457931.82641,1.0,1.00155887367,0.00188091935155,0.00155887366906,330.565033,731.106429
3,2.146393,2457931.82679,1.0,0.996829024732,0.00186926928488,-0.00317097526843,330.22087,731.708693
4,2.132692,2457931.82754,1.0,1.00014259122,0.00185989476957,0.000142591218854,330.552009,732.068559
5,2.125925,2457931.82792,1.0,1.0034294354,0.00185388715862,0.00342943539576,329.86908,731.277028
6,2.119221,2457931.82829,1.0,0.999841965227,0.00184238282344,-0.000158034772935,330.324248,731.515908
7,2.099441,2457931.82943,1.0,1.00132505345,0.00181637801988,0.00132505345323,330.271059,730.928073
8,2.086515,2457931.83018,1.0,1.00192630544,0.00181586933868,0.00192630543681,330.475361,731.541563
9,2.080129,2457931.83056,1.0,0.99739019325,0.00182127814187,-0.00260980675042,330.286497,732.103635
10,2.067511,2457931.83131,1.0,1.00282818341,0.00182672603984,0.00282818341218,329.912678,731.568441
11,2.061289,2457931.83169,1.0,0.998262008626,0.00182673550707,-0.00173799137423,330.045057,731.283634
12,2.048986,2457931.83244,1.0,1.00288162803,0.00182972679858,0.00288162803294,329.437766,731.568285
13,2.042895,2457931.83282,1.0,0.995162220622,0.00181007554,-0.00483777937846,329.974261,731.737674
14,2.030828,2457931.83358,1.0,0.993274957451,0.00179910276508,-0.00672504254914,330.339497,732.359195
15,2.02489,2457931.83395,1.0,1.00151210963,0.00180217077001,0.0015121096259,330.51217,732.222167
16,2.019009,2457931.83433,1.0,0.999701673098,0.0017911082593,-0.000298326902437,330.007169,732.05841
17,2.013168,2457931.83471,1.0,0.998696246169,0.00178857683412,-0.00130375383053,330.11029,730.529765
18,2.007378,2457931.83508,1.0,1.0032490598,0.00178608206545,0.00324905980068,330.638379,731.462272
19,1.995895,2457931.83584,1.0,0.997891236569,0.00176979011441,-0.00210876343077,330.133953,731.443994
20,1.990233,2457931.83622,1.0,0.998228605738,0.00176737706563,-0.00177139426221,329.949038,731.457903
21,1.984624,2457931.8366,1.0,1.00225699403,0.00177356098507,0.00225699402778,330.271938,731.563226
22,1.968045,2457931.83773,1.0,1.00121148363,0.00178675990013,0.00121148363411,330.378145,732.052554
23,1.962607,2457931.8381,1.0,1.00008246602,0.00178166198494,8.24660204966e-05,330.649881,731.80991
24,1.957212,2457931.83848,1.0,0.999491234903,0.00177658853321,-0.00050876509669,330.289889,732.025162
25,1.951861,2457931.83886,1.0,0.999872027826,0.00176577378684,-0.000127972173756,329.968524,732.058587
26,1.946547,2457931.83923,1.0,1.00333590731,0.00176362688352,0.00333590730942,329.950328,731.674715
27,1.936035,2457931.83999,1.0,0.997911278302,0.0017507471705,-0.00208872169798,329.899796,731.165737
28,1.930847,2457931.84037,1.0,1.00043987692,0.00175735405468,0.000439876921847,330.204375,731.424821
29,1.925698,2457931.84074,1.0,0.9951388386,0.00174952567404,-0.00486116140005,329.559604,731.26961
30,1.920587,2457931.84112,1.0,0.997373491806,0.00175331119014,-0.00262650819441,330.261452,731.816685
31,1.915503,2457931.8415,1.0,0.999060337648,0.00174842001358,-0.000939662351588,330.856323,732.000871
32,1.910471,2457931.84187,1.0,1.00277473879,0.00175518845299,0.00277473879141,329.880472,731.692442
33,1.90548,2457931.84225,1.0,1.00111127497,0.00174452850179,0.00111127497018,329.522124,731.637067
34,1.900527,2457931.84263,1.0,0.995683305674,0.00173388829305,-0.00431669432603,329.714114,731.029789
35,1.890723,2457931.84338,1.0,0.996631947693,0.0017213863917,-0.00336805230749,329.560148,731.569714
36,1.881013,2457931.84414,1.0,1.00070710003,0.00172351573961,0.00070710002566,330.201216,731.788381
37,1.87624,2457931.84452,1.0,0.999811902628,0.00171587194518,-0.000188097372114,330.345404,731.28674
38,1.871506,2457931.84489,1.0,0.996939254262,0.00171116667421,-0.0030607457381,330.166564,730.774901
39,1.866808,2457931.84527,1.0,1.00129499085,0.00171232808952,0.00129499085405,330.364503,731.465462
40,1.862145,2457931.84565,1.0,1.00261440493,0.00171058984928,0.00261440492913,330.352799,731.291492
41,1.857514,2457931.84602,1.0,0.997400214116,0.00170887254061,-0.00259978588403,330.243907,731.508214
42,1.852912,2457931.8464,1.0,1.00176931186,0.00171011012059,0.00176931186332,329.686663,731.428161
43,1.848352,2457931.84678,1.0,1.00106117064,0.0017084395236,0.00106117063821,330.128875,731.768841
44,1.843823,2457931.84716,1.0,0.99941774855,0.00170973129585,-0.000582251450238,330.540125,731.536072
45,1.839331,2457931.84753,1.0,1.00131837288,0.00170810532888,0.00131837287563,330.420499,730.851309
46,1.834867,2457931.84791,1.0,1.00154217223,0.00170944725728,0.00154217222508,330.544721,730.948325
47,1.830441,2457931.84829,1.0,0.998816496566,0.0017049120582,-0.00118350343382,330.250328,731.467778
48,1.826046,2457931.84866,1.0,0.997069525525,0.0017003919523,-0.002930474475,329.971061,731.476218
49,1.821684,2457931.84904,1.0,0.997981424367,0.00169884229794,-0.00201857563323,329.542859,731.359632
50,1.817349,2457931.84942,1.0,1.00475553005,0.00170026886188,0.00475553004843,330.384857,732.117675
51,1.808745,2457931.85018,1.0,0.999898750137,0.00168540777159,-0.000101249863375,330.096941,731.029341
52,1.804502,2457931.85055,1.0,1.00216680623,0.00168984909248,0.00216680623024,329.892462,730.962319
