,phase_fold_scaled_flux_k2,phase_fold_time_k2,scaled_error_k2,xmodel_k2,ymodel_k2,yresidual_k2
272,1.00000531424,-0.112736248067,4.65462314775e-05,-0.112736248067,1.0,-9.38202283629e-06
539,1.00000651189,-0.1124545862,4.65462314775e-05,-0.1124545862,1.0,4.65452827592e-06
20,0.999989884153,-0.112255622965,4.65462314775e-05,-0.112255622965,1.0,-8.26652521146e-06
802,1.0000162126,-0.112124860229,4.65462314775e-05,-0.112124860229,1.0,-4.14510178042e-05
292,1.00001183354,-0.111841697809,4.65462314775e-05,-0.111841697809,1.0,-6.0465176471e-05
558,0.999955659009,-0.1115630746,4.65462314775e-05,-0.1115630746,1.0,-4.22117136909e-05
40,0.99997855784,-0.111345405103,4.65462314775e-05,-0.111345405103,1.0,-6.35433302623e-05
821,1.00000324383,-0.111222683419,4.65462314775e-05,-0.111222683419,1.0,-0.000126705496015
311,0.99993080106,-0.110947844692,4.65462314775e-05,-0.110947844692,1.0,-8.0619666774e-05
576,0.999938701625,-0.110671184107,4.65462314775e-05,-0.110671184107,1.0,1.7689736119e-05
59,0.99998725521,-0.110436928425,4.65462314775e-05,-0.110436928425,1.0,-1.87168066369e-05
840,0.999976461277,-0.110319268112,4.65462314775e-05,-0.110319268112,1.0,-3.47958251293e-05
330,1.00000987854,-0.110054615275,4.65462314775e-05,-0.110054615275,1.0,5.09316646671e-05
595,0.999992285109,-0.109778904149,4.65462314775e-05,-0.109778904149,1.0,-2.07845301951e-05
78,1.00002142192,-0.10953000599,4.65462314775e-05,-0.10953000599,1.0,-1.84886457424e-05
349,1.00006675476,-0.10916193556,4.65462314775e-05,-0.10916193556,1.0,-1.03352796799e-06
611,0.99998247353,-0.108886224434,4.65462314775e-05,-0.108886224434,1.0,-2.1442159685e-05
96,1.00001467086,-0.108624569362,4.65462314775e-05,-0.108624569362,1.0,2.03536186989e-05
367,1.00002006091,-0.10826967285,4.65462314775e-05,-0.10826967285,1.0,-5.61763141038e-06
626,1.0000459859,-0.107992957183,4.65462314775e-05,-0.107992957183,1.0,-3.09245062805e-05
115,1.00000778914,-0.107720429651,4.65462314775e-05,-0.107720429651,1.0,3.89158616227e-05
387,1.00000049861,-0.10737787249,4.65462314775e-05,-0.10737787249,1.0,-3.40189218152e-05
646,1.00000783153,-0.10709915275,4.65462314775e-05,-0.10709915275,1.0,9.60520431237e-06
135,0.999970006539,-0.106817815528,4.65462314775e-05,-0.106817815528,1.0,-6.19078567832e-06
407,0.999995884139,-0.106486281885,4.65462314775e-05,-0.106486281885,1.0,-9.36498867035e-05
666,0.999999503849,-0.106204564658,4.65462314775e-05,-0.106204564658,1.0,-9.06478713369e-06
155,0.999966268117,-0.105916358115,4.65462314775e-05,-0.105916358115,1.0,-7.43773994818e-05
427,1.00001876473,-0.105595126367,4.65462314775e-05,-0.105595126367,1.0,2.44983861313e-05
685,0.999986361199,-0.105309305296,4.65462314775e-05,-0.105309305296,1.0,-1.23985365075e-05
175,1.00001838367,-0.10501604545,4.65462314775e-05,-0.10501604545,1.0,1.23931411982e-05
447,1.00001578144,-0.104703974744,4.65462314775e-05,-0.104703974744,1.0,-4.08873457447e-06
705,1.00002717145,-0.104413307899,4.65462314775e-05,-0.104413307899,1.0,-1.92318197315e-05
195,1.00000918049,-0.104116986027,4.65462314775e-05,-0.104116986027,1.0,-3.35298825394e-06
467,0.999980884438,-0.103812992538,4.65462314775e-05,-0.103812992538,1.0,2.20677461962e-05
725,1.00000213458,-0.10351638747,4.65462314775e-05,-0.10351638747,1.0,-2.50557364589e-06
215,0.999994368571,-0.103218808184,4.65462314775e-05,-0.103218808184,1.0,-1.2744789662e-05
486,0.999888363573,-0.102922047887,4.65462314775e-05,-0.102922047887,1.0,5.71543332084e-06
744,0.999987474317,-0.10261849505,4.65462314775e-05,-0.10261849505,1.0,-2.74077847573e-06
233,1.00000880518,-0.102321738646,4.65462314775e-05,-0.102321738646,1.0,-1.90980636753e-05
503,0.999993758867,-0.102031008374,4.65462314775e-05,-0.102031008374,1.0,1.97434832023e-05
764,0.999981403287,-0.101719654839,4.65462314775e-05,-0.101719654839,1.0,-1.59879217927e-05
253,0.999985305853,-0.101425584907,4.65462314775e-05,-0.101425584907,1.0,7.36540235469e-08
521,0.999971825199,-0.101139921569,4.65462314775e-05,-0.101139921569,1.0,7.62266226566e-05
1,0.999987451295,-0.100961159863,4.65462314775e-05,-0.100961159863,1.0,0.00012327032827
784,1.0000603855,-0.100819759457,4.65462314775e-05,-0.100819759457,1.0,0.000110439793809
