,scaled_error_ground,scaled_flux_ground,time_ground,xmodel_ground,ymodel_ground,yresidual_ground
0,0.001713285510332854,0.9940696948346257,2457931.825654,2457931.825654,1.0,-0.005930305165374294
1,0.0017078902840071718,0.9976775663712947,2457931.8260310004,2457931.8260310004,1.0,-0.0023224336287053227
2,0.0017029042036720275,1.0016222550329488,2457931.826409,2457931.826409,1.0,0.0016222550329487717
3,0.001691741776580038,0.9968946937499202,2457931.826787,2457931.826787,1.0,-0.0031053062500797646
4,0.0016812553706547046,1.0002065946353036,2457931.827541,2457931.827541,1.0,0.0002065946353035919
5,0.0016763240593198755,1.0034924463516506,2457931.827918,2457931.827918,1.0,0.00349244635165058
6,0.0016642162380669635,0.9999064050456529,2457931.828295,2457931.828295,1.0,-9.35949543471315e-05
7,0.001640509747197564,1.0013903285963353,2457931.829426,2457931.829426,1.0,0.0013903285963352552
8,0.0016391591160455632,1.001989686596231,2457931.83018,2457931.83018,1.0,0.0019896865962309995
9,0.0016402117356300724,0.9974554750662799,2457931.830557,2457931.830557,1.0,-0.002544524933720149
10,0.0016461191182319589,1.0028935587374566,2457931.831311,2457931.831311,1.0,0.0028935587374565586
11,0.0016466922125394452,0.9983276517693431,2457931.831688,2457931.831688,1.0,-0.0016723482306568727
12,0.0016478931752368813,1.002946278695221,2457931.832442,2457931.832442,1.0,0.0029462786952210163
13,0.0016301404373616306,0.9952258532194802,2457931.83282,2457931.83282,1.0,-0.004774146780519795
14,0.0016186350122111642,0.9933402822109904,2457931.833577,2457931.833577,1.0,-0.006659717789009645
15,0.001620129595222,1.0015771435426586,2457931.833954,2457931.833954,1.0,0.0015771435426585878
16,0.0016123308020209394,0.9997654782868617,2457931.834331,2457931.834331,1.0,-0.00023452171313831371
17,0.0016076730421618222,0.9987613790327289,2457931.834708,2457931.834708,1.0,-0.0012386209672711201
18,0.0016045137592664664,1.0033119811056757,2457931.835085,2457931.835085,1.0,0.0033119811056756543
19,0.0015881413614568312,0.9979545237791099,2457931.835841,2457931.835841,1.0,-0.00204547622089013
20,0.0015865978804661175,0.9982939303790415,2457931.8362189997,2457931.8362189997,1.0,-0.001706069620958539
21,0.0015896220741079034,1.002321100340028,2457931.8365950002,2457931.8365950002,1.0,0.0023211003400280816
22,0.0015987731486223299,1.0012762315748862,2457931.837727,2457931.837727,1.0,0.0012762315748862108
23,0.0015973486280455363,1.0001452638779749,2457931.8381040003,2457931.8381040003,1.0,0.00014526387797486606
24,0.0015926062390659685,0.9995571288434576,2457931.838481,2457931.838481,1.0,-0.0004428711565424015
25,0.001584111169994986,0.9999353513467533,2457931.8388569998,2457931.8388569998,1.0,-6.464865324673497e-05
26,0.0015790432718424262,1.0034000222380706,2457931.839234,2457931.839234,1.0,0.003400022238070566
27,0.0015659147547311995,0.9979740973973841,2457931.839989,2457931.839989,1.0,-0.0020259026026159255
28,0.001570507333438351,1.0005029039191486,2457931.840366,2457931.840366,1.0,0.0005029039191486451
29,0.001564038236756625,0.9952019562462247,2457931.840743,2457931.840743,1.0,-0.0047980437537753495
30,0.0015671028001555693,0.9974373636471869,2457931.84112,2457931.84112,1.0,-0.0025626363528130636
31,0.0015629736114547133,0.9991243565903881,2457931.841498,2457931.841498,1.0,-0.0008756434096118815
32,0.0015670756757102825,1.0028388655363538,2457931.841874,2457931.841874,1.0,0.0028388655363538184
33,0.0015567845829709793,1.0011744464730388,2457931.842251,2457931.842251,1.0,0.0011744464730387705
34,0.0015480213144486174,0.9957478211933712,2457931.842628,2457931.842628,1.0,-0.004252178806628759
35,0.00153668713440156,0.9966950121661203,2457931.843382,2457931.843382,1.0,-0.003304987833879669
36,0.0015359178076872792,1.0007702943403514,2457931.84414,2457931.84414,1.0,0.0007702943403513629
37,0.0015307307731351656,0.9998774645985085,2457931.844517,2457931.844517,1.0,-0.0001225354014915414
38,0.0015241822331160141,0.9970022203168796,2457931.844894,2457931.844894,1.0,-0.0029977796831204273
