,phase_fold_scaled_flux_k2,phase_fold_time_k2,scaled_error_k2,xmodel_k2,ymodel_k2,yresidual_k2
91,0.999940410779881,-0.03273223325317076,0.0003324786215540885,-0.03273223325317076,1.0,-0.0003060991284976611
169,1.000005004312522,-0.03259286744327028,0.0003324786215540885,-0.03259286744327028,1.0,0.0001520057157589072
35,0.9998090486212956,-0.032113097490196196,0.0003324786215540885,-0.032113097490196196,1.0,0.0004710939379244383
113,1.0000789784717368,-0.03186308249092917,0.0003324786215540885,-0.03186308249092917,1.0,9.110975828197088e-05
191,1.0006481041855395,-0.03173735415998635,0.0003324786215540885,-0.03173735415998635,1.0,-0.00013227797355885862
55,1.000243493047111,-0.03119982227337914,0.0003324786215540885,-0.03119982227337914,1.0,-4.345148229722984e-05
135,1.0000041780807325,-0.031003357039423918,0.0003324786215540885,-0.031003357039423918,1.0,-0.00035556320339014125
212,0.9998654481763969,-0.030875287058620415,0.0003324786215540885,-0.030875287058620415,1.0,-0.00017685217885521354
0,0.9996939008715023,-0.03067414114610756,0.0003324786215540885,-0.03067414114610756,1.0,0.00016936882163198774
76,0.9999453107609705,-0.030305995914318373,0.0003324786215540885,-0.030305995914318373,1.0,-1.8789447627343137e-05
157,0.9999128125122598,-0.030148914566041185,0.0003324786215540885,-0.030148914566041185,1.0,0.00036848519073751085
22,0.9998976645310135,-0.029721414474238372,0.0003324786215540885,-0.029721414474238372,1.0,0.00014512437093172625
99,0.9993519849861533,-0.02942826919667141,0.0003324786215540885,-0.02942826919667141,1.0,0.00032209688272799575
177,1.0002207589246594,-0.029295251200608163,0.0003324786215540885,-0.029295251200608163,1.0,0.0004900032755976724
41,0.9992146621947043,-0.028793280997433612,0.0003324786215540885,-0.028793280997433612,1.0,-0.0001173192985597371
121,0.9993609053135285,-0.028562802613748772,0.0003324786215540885,-0.028562802613748772,1.0,-0.00044624375351531853
198,1.0000135422826262,-0.028437978435306377,0.0003324786215540885,-0.028437978435306377,1.0,0.0002826209664026358
63,1.0001822003020504,-0.027886967692950293,0.0003324786215540885,-0.027886967692950293,1.0,-0.00040006276712090116
143,1.0005543477175103,-0.02770527831734171,0.0003324786215540885,-0.02770527831734171,1.0,-0.0003604371229685155
8,1.000169368821632,-0.027340657097738585,0.0003324786215540885,-0.027340657097738585,1.0,0.00046742511912911677
84,0.9998577453105465,-0.026998918310141562,0.0003324786215540885,-0.026998918310141562,1.0,0.00017407946791170303
165,1.0005949880048255,-0.026851543468410455,0.0003324786215540885,-0.026851543468410455,1.0,0.00019753708800096526
28,0.9999856516357055,-0.02639646559242692,0.0003324786215540885,-0.02639646559242692,1.0,-0.00010233546898652524
106,0.9996127108946656,-0.02612571709300937,0.0003324786215540885,-0.02612571709300937,1.0,-0.00030366830396533206
184,1.0000793451639935,-0.025997196992989302,0.0003324786215540885,-0.025997196992989302,1.0,0.00016371863159503341
48,1.0000776248920804,-0.0254759853781934,0.0003324786215540885,-0.0254759853781934,1.0,-3.602315065276418e-05
128,1.0002716074582403,-0.02526329896045354,0.0003324786215540885,-0.02526329896045354,1.0,-0.00024625809141864963
205,1.0001427911562673,-0.02513775932942508,0.0003324786215540885,-0.02513775932942508,1.0,-0.0001990655186351331
70,0.9997381507365752,-0.024576133189896154,0.0003324786215540885,-0.024576133189896154,1.0,-1.4348364294480831e-05
150,1.0002783541886109,-0.024407629319966873,0.0003324786215540885,-0.024407629319966873,1.0,-3.0704558640071156e-06
15,0.9995537562464847,-0.02401012096964905,0.0003324786215540885,-0.02401012096964905,1.0,0.00013294341320180258
92,0.9997439340796646,-0.023693453924920505,0.0003324786215540885,-0.023693453924920505,1.0,-0.00038131160607279835
170,1.0002090912328365,-0.02355415341838807,0.0003324786215540885,-0.02355415341838807,1.0,0.00018257732818083294
36,1.0000037555748267,-0.023074126578080723,0.0003324786215540885,-0.023074126578080723,1.0,0.0001663329571590655
114,0.9992546554793279,-0.022824337977397136,0.0003324786215540885,-0.022824337977397136,1.0,2.2910109022555858e-05
192,0.9998390163893783,-0.022698583071928624,0.0003324786215540885,-0.022698583071928624,1.0,-0.00019095137870439594
56,1.0002681356868428,-0.02216095930737083,0.0003324786215540885,-0.02216095930737083,1.0,3.75557482668043e-06
136,0.9999006302972214,-0.021964679065263226,0.0003324786215540885,-0.021964679065263226,1.0,0.00026930790134405136
