,scaled_error_ground,scaled_flux_ground,time_ground,xmodel_ground,ymodel_ground,yresidual_ground
0,0.00190071806704,0.993773639787,2457931.82565,2457931.82565,1.0,-0.00622636021303
1,0.00189439370002,0.997288454355,2457931.82603,2457931.82603,1.0,-0.00271154564511
2,0.00189098868448,1.00137626056,2457931.82641,2457931.82641,1.0,0.00137626056211
3,0.00187606419967,0.996736425824,2457931.82679,2457931.82679,1.0,-0.00326357417566
4,0.00186657897884,1.00026870965,2457931.82754,2457931.82754,1.0,0.000268709649555
5,0.00186335090829,1.0039791799,2457931.82792,2457931.82792,1.0,0.00397917989919
6,0.00185146050337,1.00001016464,2457931.82829,2457931.82829,1.0,1.01646415764e-05
7,0.0018246965118,1.00148456996,2457931.82943,2457931.82943,1.0,0.00148456995734
8,0.00182447987482,1.00226719268,2457931.83018,2457931.83018,1.0,0.0022671926842
9,0.0018273767184,0.996984489278,2457931.83056,2457931.83056,1.0,-0.00301551072206
10,0.00183631709739,1.00283669047,2457931.83131,2457931.83131,1.0,0.00283669047204
11,0.00183647538071,0.998280708169,2457931.83169,2457931.83169,1.0,-0.00171929183071
12,0.00183693667733,1.00228466194,2457931.83244,2457931.83244,1.0,0.00228466194149
13,0.00181944785858,0.9959607908,2457931.83282,2457931.83282,1.0,-0.00403920919959
14,0.0018082285563,0.993267031325,2457931.83358,2457931.83358,1.0,-0.00673296867461
15,0.00181158031483,1.00164179327,2457931.83395,2457931.83395,1.0,0.00164179327301
16,0.00180012190936,1.00018835107,2457931.83433,2457931.83433,1.0,0.000188351065994
17,0.00179760200373,0.999070318599,2457931.83471,2457931.83471,1.0,-0.000929681400938
18,0.00179511862113,1.0034970284,2457931.83508,2457931.83508,1.0,0.00349702839782
19,0.00177532645735,0.997931323023,2457931.83584,2457931.83584,1.0,-0.00206867697663
20,0.00177590207102,0.998140954111,2457931.83622,2457931.83622,1.0,-0.00185904588908
21,0.00177951358984,1.00173962111,2457931.8366,2457931.8366,1.0,0.00173962111386
22,0.00179368204473,1.00102338156,2457931.83773,2457931.83773,1.0,0.00102338156473
23,0.0017884554707,0.999926312207,2457931.8381,2457931.8381,1.0,-7.36877934434e-05
24,0.00178325312753,0.998605636355,2457931.83848,2457931.83848,1.0,-0.00139436364501
25,0.00177505534862,1.00003811545,2457931.83886,2457931.83886,1.0,3.81154532498e-05
26,0.00176989693,1.00295548142,2457931.83923,2457931.83923,1.0,0.00295548142165
