,phase_fold_scaled_flux_k2,phase_fold_time_k2,scaled_error_k2,xmodel_k2,ymodel_k2,yresidual_k2
61,0.9993305393819705,-0.04355216710632703,0.00032444139121544694,-0.04355216710632703,1.0,0.00013768565079952388
167,1.000116828187469,-0.04333945258309768,0.00032444139121544694,-0.04333945258309768,1.0,-0.00027691987032751886
268,1.0001083541844713,-0.04321413493374848,0.00032444139121544694,-0.04321413493374848,1.0,0.00018100675978360847
90,1.00038453548415,-0.04265230964949751,0.00032444139121544694,-0.04265230964949751,1.0,0.0004903353886644979
196,0.9995910255260398,-0.042483776025051156,0.00032444139121544694,-0.042483776025051156,1.0,7.32700031239597e-05
18,0.9998397169545903,-0.04208642820975683,0.00032444139121544694,-0.04208642820975683,1.0,-0.00014870027669611208
118,1.000402350058057,-0.04176960204307534,0.00032444139121544694,-0.04176960204307534,1.0,-1.513056758317699e-05
222,0.9996901304577737,-0.04163036386529484,0.00032444139121544694,-0.04163036386529484,1.0,-0.00032738405509447066
45,1.0000565710211387,-0.041150396825742064,0.00032444139121544694,-0.041150396825742064,1.0,-0.0001487765977526978
147,1.0000953186650392,-0.04090043694742462,0.00032444139121544694,-0.04090043694742462,1.0,-0.0002259264787081161
250,0.9996011128174758,-0.04077488404129781,0.00032444139121544694,-0.04077488404129781,1.0,0.00020734180986869966
71,0.9998852953376923,-0.04023712272675084,0.00032444139121544694,-0.04023712272675084,1.0,1.919085158941236e-05
177,0.9997169530659016,-0.04004079769242708,0.00032444139121544694,-0.04004079769242708,1.0,0.0003790842017226126
278,0.999882875595091,-0.039912907462507974,0.00032444139121544694,-0.039912907462507974,1.0,0.00015628472708395513
0,1.0001376856507995,-0.03971145845883939,0.00032444139121544694,-0.03971145845883939,1.0,0.00032628790675137687
99,1.0003367285749307,-0.039343351046227326,0.00032444139121544694,-0.039343351046227326,1.0,0.0005280154134892356
206,1.0000026009500405,-0.03918636663581765,0.00032444139121544694,-0.03918636663581765,1.0,-7.934204571868886e-05
28,0.9997685418784987,-0.03875867378246767,0.00032444139121544694,-0.03875867378246767,1.0,-0.00010812765239898159
128,0.9998539875773838,-0.03846564687012233,0.00032444139121544694,-0.03846564687012233,1.0,-0.00016028304540971483
232,0.9994411563492758,-0.0383327278714205,0.00032444139121544694,-0.0383327278714205,1.0,-0.00046228478448129273
52,0.9999489439645304,-0.03783062403152826,0.00032444139121544694,-0.03783062403152826,1.0,-0.00039034298088469477
157,1.0003285643765196,-0.03760012537088642,0.00032444139121544694,-0.03760012537088642,1.0,0.0003384273055335729
81,1.0004468455199522,-0.036924270643964974,0.00032444139121544694,-0.036924270643964974,1.0,-0.0003814271554641868
187,1.0002128596666728,-0.03674269221494342,0.00032444139121544694,-0.03674269221494342,1.0,-0.0003486916366157722
9,0.9997740735212919,-0.036377924789405824,0.00032444139121544694,-0.036377924789405824,1.0,0.0005057191002656447
109,0.9998124175571137,-0.03603623556267621,0.00032444139121544694,-0.03603623556267621,1.0,0.0002288079838455026
216,1.0001852469743917,-0.03588906148473825,0.00032444139121544694,-0.03588906148473825,1.0,0.000251884240239475
36,1.0001002340328229,-0.03543376674531373,0.00032444139121544694,-0.03543376674531373,1.0,-0.00011416282951248746
138,0.9999019426015066,-0.035163060183094785,0.00032444139121544694,-0.035163060183094785,1.0,-0.0002314581215012712
241,0.9995348566413615,-0.03503469943956361,0.00032444139121544694,-0.03503469943956361,1.0,-6.596008222159444e-05
62,0.9995046111872371,-0.03451324006215373,0.00032444139121544694,-0.03451324006215373,1.0,-0.00026742698745929605
168,1.0001443937853463,-0.03430072453897992,0.00032444139121544694,-0.03430072453897992,1.0,0.00017633077663503638
269,1.0005579631751778,-0.034175348384451354,0.00032444139121544694,-0.034175348384451354,1.0,-3.749724490920148e-05
91,0.9994316471697169,-0.03361348354735583,0.00032444139121544694,-0.03361348354735583,1.0,-0.0002105885587845302
197,0.9995022917935179,-0.03344506157725391,0.00032444139121544694,-0.03344506157725391,1.0,-0.00016354137847096606
19,0.9995377152155187,-0.03304738415516795,0.00032444139121544694,-0.03304738415516795,1.0,-0.00010445396039060473
119,0.9999775119647244,-0.0327307784129971,0.00032444139121544694,-0.0327307784129971,1.0,0.0001002340328228879
223,1.0000356725088748,-0.03259165003549924,0.00032444139121544694,-0.03259165003549924,1.0,2.032781507366188e-05
46,0.9998440198982008,-0.03211146978156876,0.00032444139121544694,-0.03211146978156876,1.0,3.1681854968823586e-05
148,1.0001180312749245,-0.03186169242297865,0.00032444139121544694,-0.03186169242297865,1.0,0.00013047640102825664
251,1.0006812091681192,-0.031736201524097396,0.00032444139121544694,-0.031736201524097396,1.0,-0.0003738911055508609
72,1.0002711247885474,-0.031198259543884888,0.00032444139121544694,-0.031198259543884888,1.0,0.0001819749052059949
178,1.0000259994727143,-0.031002031743526004,0.00032444139121544694,-0.031002031743526004,1.0,0.0002014473034928077
279,0.999886698257252,-0.030874199400841462,0.00032444139121544694,-0.030874199400841462,1.0,5.811212576434244e-05
1,0.9997230801296725,-0.030672405752056875,0.00032444139121544694,-0.030672405752056875,1.0,-0.0002607963285639059
100,0.9999645251827441,-0.030304497957615695,0.00032444139121544694,-0.030304497957615695,1.0,5.6571021138651645e-05
