,phase_fold_scaled_flux_k2,phase_fold_time_k2,scaled_error_k2,xmodel_k2,ymodel_k2,yresidual_k2
539,1.0000069356060823,-0.11246194545822163,4.597954362696999e-05,-0.11246194545822163,1.0,6.935606082336676e-06
20,0.9999903077875076,-0.11226559205022113,4.597954362696999e-05,-0.11226559205022113,1.0,-9.692212492362628e-06
802,1.000016636611458,-0.11213086592374566,4.597954362696999e-05,-0.11213086592374566,1.0,1.6636611458009654e-05
292,1.0000122572110621,-0.11185031360031417,4.597954362696999e-05,-0.11185031360031417,1.0,1.2257211062127737e-05
558,0.9999560828048677,-0.11157033738953714,4.597954362696999e-05,-0.11157033738953714,1.0,-4.391719513230363e-05
40,0.9999789817403677,-0.11135527743880402,4.597954362696999e-05,-0.11135527743880402,1.0,-2.101825963229942e-05
821,1.0000036677627269,-0.11122859264429508,4.597954362696999e-05,-0.11122859264429508,1.0,3.6677627268666413e-06
311,0.9999312248683832,-0.11095636373642037,4.597954362696999e-05,-0.11095636373642037,1.0,-6.877513161684945e-05
576,0.9999391255270953,-0.11067834987102287,4.597954362696999e-05,-0.11067834987102287,1.0,-6.0874472904703936e-05
59,0.9999876791794724,-0.11044670401253143,4.597954362696999e-05,-0.11044670401253143,1.0,-1.2320820527600418e-05
840,0.9999768852403457,-0.11032508086731241,4.597954362696999e-05,-0.11032508086731241,1.0,-2.3114759654330186e-05
330,1.000010302603627,-0.11006303729413958,4.597954362696999e-05,-0.11006303729413958,1.0,1.030260362711033e-05
595,0.9999927088815977,-0.1097859731660833,4.597954362696999e-05,-0.1097859731660833,1.0,-7.2911184022528275e-06
78,1.000021846106555,-0.10953968510648338,4.597954362696999e-05,-0.10953968510648338,1.0,2.1846106555090117e-05
349,1.0000671788163,-0.10917026110979577,4.597954362696999e-05,-0.10917026110979577,1.0,6.717881630002864e-05
611,0.9999828974382323,-0.10889319698168265,4.597954362696999e-05,-0.10889319698168265,1.0,-1.7102561767678992e-05
96,1.0000150946218067,-0.10863415145166755,4.597954362696999e-05,-0.10863415145166755,1.0,1.5094621806710506e-05
367,1.000020484536616,-0.10827790165257056,4.597954362696999e-05,-0.10827790165257056,1.0,2.048453661607219e-05
626,1.000046409882853,-0.10799983270572966,4.597954362696999e-05,-0.10799983270572966,1.0,4.640988285298242e-05
115,1.0000082132838277,-0.10772991527045406,4.597954362696999e-05,-0.10772991527045406,1.0,8.213283827718243e-06
387,1.000000922853458,-0.10738600454550351,4.597954362696999e-05,-0.10738600454550351,1.0,9.228534580962844e-07
646,1.00000825555059,-0.10710593124673551,4.597954362696999e-05,-0.10710593124673551,1.0,8.25555059003058e-06
135,0.9999704307785978,-0.10682720412148683,4.597954362696999e-05,-0.10682720412148683,1.0,-2.9569221402181434e-05
407,0.9999963081592409,-0.10649431719292579,4.597954362696999e-05,-0.10649431719292579,1.0,-3.691840759101339e-06
666,0.9999999277380771,-0.10621124668563198,4.597954362696999e-05,-0.10621124668563198,1.0,-7.226192288989353e-08
155,0.9999666922693402,-0.10592564996062492,4.597954362696999e-05,-0.10592564996062492,1.0,-3.330773065979287e-05
427,1.0000191887075562,-0.10560306520619633,4.597954362696999e-05,-0.10560306520619633,1.0,1.9188707556239137e-05
685,0.9999867852064643,-0.10531589057626434,4.597954362696999e-05,-0.10531589057626434,1.0,-1.3214793535665237e-05
175,1.0000188074270218,-0.10502524054760443,4.597954362696999e-05,-0.10502524054760443,1.0,1.880742702176086e-05
447,1.000016205538347,-0.10471181655776718,4.597954362696999e-05,-0.10471181655776718,1.0,1.6205538347024984e-05
